Date,N1,N2,N3,N4,N5,E1,E2,Winner,Gain
2004-01-10,48,20,45,21,12,6,5,1,29785269
2004-01-10,12,30,20,2,29,6,11,0,0
2004-01-10,33,22,34,45,33,2,6,0,0
2004-01-10,43,30,15,17,7,9,4,0,0
2004-01-10,16,37,8,15,35,4,5,0,0
2004-02-13,32,16,29,41,36,9,7,1,15000000
2004-02-13,33,10,38,16,25,3,11,0,0
2004-02-13,7,26,37,16,39,9,11,0,0
2004-02-13,15,37,27,12,38,5,10,0,0
2004-02-13,38,35,42,10,41,4,9,0,0
2004-04-06,41,42,34,13,9,7,3,1,12488171
2004-04-06,6,48,16,9,18,11,6,0,0
2004-04-06,21,39,20,31,34,5,6,0,0
2004-04-06,18,33,34,35,15,7,10,0,0
2004-04-06,42,27,23,24,44,7,5,0,0
2004-05-03,39,37,4,7,33,5,1,1,20678070
2004-05-03,25,36,19,33,3,5,9,0,0
2004-05-03,12,24,28,44,33,6,8,0,0
2004-05-03,16,9,31,22,31,6,7,0,0
2004-05-03,44,13,17,45,33,3,2,0,0
2004-05-14,32,3,1,39,21,2,6,1,33816137
2004-05-14,47,41,43,31,37,7,10,0,0
2004-05-14,39,37,35,12,35,2,10,0,0
2004-05-14,40,9,38,20,15,7,1,0,0
2004-05-14,6,13,14,49,26,6,8,0,0
2004-05-21,37,39,29,15,49,4,9,1,10000000
2004-05-21,36,3,28,15,43,4,2,0,0
2004-05-21,15,14,43,27,8,11,8,0,0
2004-05-21,3,48,47,24,3,2,1,0,0
2004-05-21,47,9,8,15,40,7,8,0,0
2004-06-08,5,35,44,15,24,6,5,1,24746858
2004-06-08,4,35,1,41,30,7,11,0,0
2004-06-08,45,16,30,44,32,4,2,0,0
2004-06-08,40,21,17,22,13,4,6,0,0
2004-06-08,13,20,11,28,15,3,11,0,0
2004-06-18,28,2,40,23,43,6,2,1,12286876
2004-06-18,16,42,33,4,49,6,10,0,0
2004-06-18,9,6,7,11,14,10,1,0,0
2004-06-18,49,42,2,7,19,4,10,0,0
2004-06-18,12,35,13,46,42,11,5,0,0
2004-09-04,23,19,10,1,4,2,8,1,25556285
2004-09-04,7,27,28,10,22,5,4,0,0
2004-09-04,30,7,30,39,44,8,2,0,0
2004-09-04,39,5,49,43,14,8,3,0,0
2004-09-04,1,33,34,9,23,10,6,0,0
2004-10-22,9,25,1,40,23,3,9,1,25059130
2004-10-22,20,13,3,17,48,9,11,0,0
2004-10-22,3,18,29,32,17,3,11,0,0
2004-10-22,46,18,39,20,9,8,11,0,0
2004-10-22,38,3,18,33,21,4,1,0,0
2004-11-26,24,1,34,4,36,8,6,1,43756502
2004-11-26,2,11,36,33,48,2,8,0,0
2004-11-26,2,39,18,22,25,8,4,0,0
2004-11-26,38,20,15,38,33,3,2,0,0
2004-11-26,21,22,19,40,30,8,4,0,0
2004-12-17,49,22,19,15,46,9,2,1,26215627
2004-12-17,49,30,40,21,18,8,11,0,0
2004-12-17,15,38,35,31,37,11,8,0,0
2004-12-17,35,19,39,28,38,3,9,0,0
2004-12-17,42,33,38,8,30,6,7,0,0
2004-12-24,3,27,29,4,37,6,5,1,10000000
2004-12-24,45,47,9,23,19,10,6,0,0
2004-12-24,13,8,46,5,19,6,1,0,0
2004-12-24,32,37,21,23,48,10,7,0,0
2004-12-24,11,23,19,40,6,8,11,0,0
2005-01-14,11,14,29,6,19,3,1,2,26007362
2005-01-14,41,3,10,14,40,4,5,0,0
2005-01-14,5,49,47,33,15,7,9,0,0
2005-01-14,15,36,5,35,18,8,9,0,0
2005-01-14,36,32,20,44,17,1,8,0,0
2005-02-18,32,46,20,21,26,8,9,1,10000000
2005-02-18,42,5,7,37,29,7,8,0,0
2005-02-18,29,9,8,22,28,9,1,0,0
2005-02-18,9,25,11,16,30,7,3,0,0
2005-02-18,24,48,36,33,43,5,1,0,0
2005-04-22,13,10,24,47,3,9,5,2,23749558
2005-04-22,42,41,8,24,39,7,6,0,0
2005-04-22,8,42,14,43,18,3,11,0,0
2005-04-22,3,28,47,33,30,11,4,0,0
2005-04-22,16,6,15,9,39,3,2,0,0
2005-05-20,28,6,47,7,13,8,5,1,43020745
2005-05-20,27,2,48,14,6,6,1,0,0
2005-05-20,41,28,5,13,8,4,3,0,0
2005-05-20,4,43,14,19,14,4,3,0,0
2005-05-20,41,22,44,26,18,5,4,0,0
2005-07-10,26,44,21,13,2,3,9,2,15000000
2005-07-10,34,21,14,48,41,10,1,0,0
2005-07-10,5,9,38,47,27,8,9,0,0
2005-07-10,45,33,16,34,18,9,1,0,0
2005-07-10,49,17,20,25,8,10,11,0,0
2005-07-29,50,3,19,49,26,5,4,1,115436126
2005-07-29,37,31,45,12,17,8,11,0,0
2005-07-29,27,7,21,39,16,10,4,0,0
2005-07-29,21,27,14,21,44,10,4,0,0
2005-07-29,34,25,46,11,48,5,7,0,0
2005-08-04,31,50,25,11,7,3,1,1,64040749
2005-08-04,31,12,44,21,10,2,3,0,0
2005-08-04,11,24,8,7,24,9,4,0,0
2005-08-04,24,47,33,31,20,4,1,0,0
2005-08-04,36,22,43,16,22,10,6,0,0
2005-09-16,19,38,12,13,21,3,9,1,75888514
2005-09-16,21,34,29,41,43,2,8,0,0
2005-09-16,30,49,14,31,28,7,9,0,0
2005-09-16,42,21,46,12,46,9,8,0,0
2005-09-16,45,19,20,40,21,7,4,0,0
2005-09-30,11,50,48,6,47,1,6,4,25066380
2005-09-30,22,28,40,20,19,2,4,0,0
2005-09-30,31,46,19,15,14,9,10,0,0
2005-09-30,21,28,23,41,49,8,7,0,0
2005-09-30,12,36,34,49,17,8,2,0,0
2005-10-14,10,19,11,23,20,6,1,1,15000000
2005-10-14,18,30,47,41,13,3,5,0,0
2005-10-14,44,27,18,12,47,5,1,0,0
2005-10-14,10,5,19,30,16,3,2,0,0
2005-10-14,11,15,23,35,4,2,3,0,0
2005-11-02,11,13,25,32,50,7,4,1,34776948
2005-11-02,21,44,5,30,42,5,4,0,0
2005-11-02,21,46,21,38,36,11,5,0,0
2005-11-02,39,14,30,21,31,6,4,0,0
2005-11-02,47,10,21,43,11,6,5,0,0
2005-11-11,41,16,36,42,15,5,3,1,45117030
2005-11-11,42,19,48,28,31,4,6,0,0
2005-11-11,24,5,31,35,15,1,6,0,0
2005-11-11,36,32,22,3,2,10,1,0,0
2005-11-11,21,34,18,36,23,5,1,0,0
2006-01-09,25,50,7,45,3,9,6,0,15000000
2006-01-09,39,36,42,15,24,1,3,0,0
2006-01-09,29,3,21,5,40,2,9,0,0
2006-01-09,48,30,29,33,3,2,6,0,0
2006-01-09,31,14,5,15,47,5,1,0,0
2006-01-12,16,37,8,41,4,2,5,0,15000000
2006-01-12,17,42,31,46,13,1,6,0,0
2006-01-12,7,21,30,28,46,5,6,0,0
2006-01-12,23,48,29,20,23,4,10,0,0
2006-01-12,22,15,18,8,36,10,7,0,0
2006-01-27,9,21,15,40,49,4,1,0,152882223
2006-01-27,12,28,2,21,35,1,6,0,0
2006-01-27,29,27,47,49,48,7,8,0,0
2006-01-27,24,37,6,4,35,9,1,0,0
2006-01-27,9,31,3,17,30,3,2,0,0
2006-02-06,41,7,48,27,8,6,1,0,15000000
2006-02-06,49,28,2,16,39,10,2,0,0
2006-02-06,30,41,30,44,20,11,7,0,0
2006-02-06,6,21,13,5,43,9,1,0,0
2006-02-06,21,35,45,10,8,7,8,0,0
2006-02-17,4,23,38,24,26,4,2,1,27813382
2006-02-17,49,4,2,15,3,4,8,0,0
2006-02-17,42,13,2,19,24,11,3,0,0
2006-02-17,39,13,38,33,46,2,6,0,0
2006-02-17,42,19,20,31,33,10,8,0,0
2006-02-24,18,19,1,47,11,7,3,0,15000000
2006-02-24,1,42,9,24,20,2,5,0,0
2006-02-24,26,22,3,2,24,8,9,0,0
2006-02-24,37,21,11,14,39,8,9,0,0
2006-02-24,29,23,31,34,35,5,10,0,0
2006-03-02,30,39,9,21,50,3,1,3,183573077
2006-03-02,29,41,7,44,17,11,2,0,0
2006-03-02,21,35,45,8,20,3,8,0,0
2006-03-02,25,18,29,38,12,3,5,0,0
2006-03-02,23,10,16,32,12,2,3,0,0
2006-03-03,5,44,10,8,3,3,5,0,26842720
2006-03-03,43,8,14,22,20,7,9,0,0
2006-03-03,46,22,3,48,46,4,3,0,0
2006-03-03,39,3,30,21,1,11,5,0,0
2006-03-03,29,49,25,33,49,9,8,0,0
2006-03-11,13,11,44,24,49,9,3,0,131523150
2006-03-11,44,1,40,22,19,11,6,0,0
2006-03-11,47,15,27,2,29,11,10,0,0
2006-03-11,1,17,14,1,24,7,4,0,0
2006-03-11,43,25,39,11,46,2,3,0,0
2006-03-17,50,44,5,45,32,7,1,0,51865203
2006-03-17,49,35,34,12,43,5,1,0,0
2006-03-17,5,7,49,28,3,2,11,0,0
2006-03-17,44,37,38,43,7,8,4,0,0
2006-03-17,45,37,8,35,15,3,10,0,0
2006-03-24,17,47,28,33,35,4,9,0,65117842
2006-03-24,20,1,19,12,20,10,11,0,0
2006-03-24,23,11,14,15,6,11,10,0,0
2006-03-24,27,48,39,41,12,2,1,0,0
2006-03-24,12,35,9,7,8,9,8,0,0
2006-03-31,50,3,45,20,31,7,6,1,75753123
2006-03-31,4,15,31,39,11,10,9,0,0
2006-03-31,19,36,37,9,6,5,8,0,0
2006-03-31,20,28,9,30,34,7,4,0,0
2006-03-31,43,16,22,34,32,9,11,0,0
2006-04-08,26,15,32,14,1,7,3,0,24977577
2006-04-08,12,7,8,41,12,9,10,0,0
2006-04-08,16,15,32,41,37,1,11,0,0
2006-04-08,39,20,13,21,15,8,9,0,0
2006-04-08,43,14,31,4,19,2,3,0,0
2006-04-14,34,35,26,16,49,6,2,1,25915863
2006-04-14,20,34,23,36,31,8,11,0,0
2006-04-14,13,32,17,49,7,10,8,0,0
2006-04-14,44,35,31,1,19,11,9,0,0
2006-04-14,24,12,9,14,28,2,3,0,0
2006-04-21,46,1,22,20,37,1,9,0,15000000
2006-04-21,30,20,25,9,39,7,6,0,0
2006-04-21,10,21,15,6,4,4,11,0,0
2006-04-21,15,5,33,4,46,7,1,0,0
2006-04-21,2,43,40,43,45,3,1,0,0
2006-04-28,17,5,33,22,10,7,5,4,25811931
2006-04-28,16,1,12,13,9,2,9,0,0
2006-04-28,19,25,37,23,38,8,3,0,0
2006-04-28,49,24,48,37,26,10,5,0,0
2006-04-28,44,45,8,43,49,8,4,0,0
2006-05-05,8,50,16,4,14,9,3,0,15000000
2006-05-05,6,46,25,7,8,8,1,0,0
2006-05-05,40,21,26,24,27,8,5,0,0
2006-05-05,36,19,18,25,45,5,10,0,0
2006-05-05,33,39,1,23,32,3,11,0,0
2006-05-19,49,34,25,3,5,8,5,1,15000000
2006-05-19,15,29,3,4,31,10,2,0,0
2006-05-19,29,25,41,28,36,5,7,0,0
2006-05-19,18,9,4,28,34,9,4,0,0
2006-05-19,2,3,8,27,2,5,8,0,0
2006-05-26,21,41,12,2,49,3,7,2,15000000
2006-05-26,10,17,34,20,3,1,3,0,0
2006-05-26,44,3,18,12,23,2,5,0,0
2006-05-26,40,27,34,47,24,5,4,0,0
2006-05-26,33,26,23,7,11,7,8,0,0
2006-06-10,5,35,11,22,38,7,8,0,69208821
2006-06-10,35,7,8,2,30,10,3,0,0
2006-06-10,28,33,4,42,49,5,6,0,0
2006-06-10,32,48,25,5,36,9,5,0,0
2006-06-10,37,9,37,46,35,1,10,0,0
2006-06-16,26,36,1,16,30,9,3,0,35662152
2006-06-16,46,6,40,14,30,2,9,0,0
2006-06-16,22,21,23,18,15,2,3,0,0
2006-06-16,28,42,18,47,18,1,11,0,0
2006-06-16,28,3,8,17,26,10,4,0,0
2006-06-23,44,30,9,21,43,9,1,0,46811687
2006-06-23,31,10,48,1,24,3,7,0,0
2006-06-23,19,3,34,29,1,2,9,0,0
2006-06-23,24,22,20,40,7,10,2,0,0
2006-06-23,24,25,19,44,30,7,8,0,0
2006-06-30,16,6,15,40,43,1,2,0,58765947
2006-06-30,45,18,8,33,17,11,4,0,0
2006-06-30,20,31,49,45,20,1,4,0,0
2006-06-30,25,37,25,14,5,11,10,0,0
2006-06-30,11,22,30,25,1,7,3,0,0
2006-07-04,13,12,29,50,44,4,5,0,15000000
2006-07-04,1,18,3,11,25,6,8,0,0
2006-07-04,18,28,14,39,23,11,5,0,0
2006-07-04,48,28,4,30,32,1,7,0,0
2006-07-04,20,7,15,1,20,9,5,0,0
2006-07-07,35,9,7,43,18,7,5,2,68408266
2006-07-07,34,17,23,36,6,9,10,0,0
2006-07-07,20,19,39,9,43,2,9,0,0
2006-07-07,4,46,4,24,42,3,6,0,0
2006-07-07,35,33,44,2,16,3,9,0,0
2006-07-14,1,31,7,17,36,8,2,0,15000000
2006-07-14,7,31,24,7,32,9,6,0,0
2006-07-14,30,26,22,49,3,6,11,0,0
2006-07-14,29,38,27,46,20,8,5,0,0
2006-07-14,48,39,33,36,49,1,9,0,0
2006-07-21,50,4,38,2,9,8,6,1,25042525
2006-07-21,7,39,10,6,45,10,5,0,0
2006-07-21,37,21,5,38,32,5,11,0,0
2006-07-21,30,28,32,36,2,1,8,0,0
2006-07-21,20,15,6,8,44,6,5,0,0
2006-07-28,3,43,29,8,12,6,7,0,15000000
2006-07-28,20,26,47,19,4,8,9,0,0
2006-07-28,45,20,17,33,44,11,1,0,0
2006-07-28,8,40,29,5,30,2,3,0,0
2006-07-28,36,18,39,29,42,3,6,0,0
2006-08-09,12,10,32,33,1,8,1,0,25256582
2006-08-09,18,38,8,30,5,1,5,0,0
2006-08-09,16,30,5,47,36,6,1,0,0
2006-08-09,41,33,4,40,9,1,8,0,0
2006-08-09,9,22,48,33,29,4,8,0,0
2006-08-12,47,36,17,16,18,1,2,0,26982938
2006-08-12,36,34,14,48,22,4,6,0,0
2006-08-12,10,15,7,11,8,2,9,0,0
2006-08-12,32,44,20,3,12,3,7,0,0
2006-08-12,29,5,23,44,37,9,2,0,0
2006-08-18,37,40,50,12,39,1,2,0,45929071
2006-08-18,36,31,48,46,20,10,2,0,0
2006-08-18,16,3,15,29,13,6,11,0,0
2006-08-18,33,8,22,48,2,2,7,0,0
2006-08-18,4,12,41,12,25,9,7,0,0
2006-08-25,47,10,28,48,40,8,6,1,57414511
2006-08-25,48,38,42,36,4,8,1,0,0
2006-08-25,41,16,40,37,29,10,2,0,0
2006-08-25,38,23,3,47,31,7,9,0,0
2006-08-25,12,17,14,26,43,4,9,0,0
2006-09-06,3,34,39,15,12,4,6,0,25187106
2006-09-06,9,28,24,47,46,7,9,0,0
2006-09-06,29,11,14,40,41,7,8,0,0
2006-09-06,34,20,39,28,45,10,8,0,0
2006-09-06,13,37,14,32,25,6,2,0,0
2006-09-15,10,49,26,6,16,7,9,0,35980458
2006-09-15,33,2,19,5,36,1,11,0,0
2006-09-15,7,30,31,29,16,5,4,0,0
2006-09-15,6,46,5,9,49,5,3,0,0
2006-09-15,20,13,1,14,20,6,8,0,0
2006-09-22,30,45,49,29,10,8,3,0,47213250
2006-09-22,28,29,46,5,11,1,5,0,0
2006-09-22,24,37,44,26,41,10,2,0,0
2006-09-22,35,33,9,30,44,3,5,0,0
2006-09-22,41,28,44,12,43,11,1,0,0
2006-09-29,1,3,24,6,18,5,8,0,59132969
2006-09-29,23,22,35,44,20,4,9,0,0
2006-09-29,43,2,45,23,47,5,2,0,0
2006-09-29,40,20,45,1,7,5,11,0,0
2006-09-29,11,2,46,24,10,9,7,0,0
2006-10-02,5,38,6,48,50,6,7,0,15000000
2006-10-02,31,33,30,36,45,11,4,0,0
2006-10-02,49,21,49,10,48,11,2,0,0
2006-10-02,14,37,34,24,22,7,2,0,0
2006-10-02,36,12,24,44,2,9,6,0,0
2006-10-03,1,33,21,45,49,4,8,0,39080314
2006-10-03,27,23,37,47,20,3,4,0,0
2006-10-03,13,48,11,33,14,11,3,0,0
2006-10-03,26,10,29,21,40,5,9,0,0
2006-10-03,37,49,7,3,39,11,2,0,0
2006-10-11,36,30,14,27,21,2,3,0,153564446
2006-10-11,9,42,7,8,9,11,9,0,0
